,title,keywords
235,"Биология поведения человека: Лекция #1. Введение [Роберт Сапольски, 2010. Стенфорд]","Vert Dider, Стенфорд, биология, человек, генетика, Сапольски"
236,Насколько важна математическая подготовка в перспективных направлениях разработки ПО,"математика для программистов, программирование, искусственный интеллект, data mining, прикладная математика"
237,Тайна девятой планеты: учёные всё ближе к открытию,"солнечная система, пояс койпера, девятая планета"
238,"Реализация индикатора производительности запросов, хранимых процедур и триггеров в MS SQL Server. Автотрассировка",MS SQL Server
239,Как я пытался включить http2 у себя на проекте с nginx,"http2, letsencrypt"
240,Физика в мире животных: трилобиты и их «линзы» из кальцита,"трилобиты, глаза, палеонтология"
241,Интерфейс для совместного использования Raspberry Pi и Arduino,arduino
242,6 концепций функционального программирования. Польза и примеры использования,"c, objective-c, swift, haskell"
243,Манифест Ричарда Столлмана: How I do my computing,"свобода, Trisquel, GNU, Linux, OLPC, Libreboot, Emacs, rms, DRM, EULA, Lisp, DuckDuckGo, GNU Social, X11, IceCat, tor, konqueror, edisonsoftware"
244,Работа с API ВКонтакте на C#,"vkontakte api, c#, .net, api вконтакте, windows forms"
245,Автосбор данных о файлах баз данных и логических дисках операционной системы в MS SQL Server,MS SQL Server
246,Синтез изображений с помощью глубоких нейросетей. Лекция в Яндексе,"нейронные сети, нейросети, синтез изображений, torch, сколтех, prisma, сравнение изображений, стилизация"
247,Мощь ITIL и поблема с гуру,"ITIL, IBM Endpoint Manager"
248,Google DeepMind и Blizzard превратят StarCraft 2 в среду для изучения ИИ,"blizzard, deepmind, skynet, star craft 2, игры, alpha go, искусственный интеллект"
249,Красота чисел. Математические константы в природе,"математика, константа, природа"
250,Процедурная растительность на OpenGL и GLSL,"opengl, glsl, процедурная генерация, трава"
251,"О сравнении объектов по значению — 2, или Особенности реализации метода Equals","C#, .NET, object equality, GetHashCode, Equals, IEquatable<T>, Equals(T), equality operators"
252,Дайджест интересных материалов для мобильного разработчика #178 (31 октября-6 ноября),"разработка приложений, Android, iOS, Windows Phone, маркетинг, монетизация, мобильные устройства и приложения"
253,"Илон Маск: запуски SpaceX возобновятся в середине декабря, определена причина взрыва Falcon 9","falcon 9, spacex, аварии, космос"
254,«Фотошоп» для человеческой речи,"Фотошоп, звук, CUTE, VoCo, Adobe"
255,Измерение сопротивления и индуктивности двигателя постоянного тока,"математика на пальцах, робототехника, kill all humans"
256,Установка node.js на Raspberry Pi,"node.js, javascript, raspberry pi"
257,Измеряем мощность сотового телефона,нетитановый монстр
258,Введена в строй 54-х терабитная магистраль в Азии,"азия, магистрали, интернет-канал"
259,Microsoft предоставит антивирусам возможность контроля за активностью подсистемы Linux на Windows 10,"microsoft, windows"
260,"Как устроен парсер Python, и как втрое уменьшить потребление им памяти","синтаксический анализ, оптимизация кода, потребление памяти, абстрактное синтаксическое дерево"
261,Дайджест свежих материалов из мира фронтенда за последнюю неделю №235 (1 — 6 ноября 2016),"дайджест, фронтенд, css, js, es6, vue, react, angular, html5, браузеры, ссылки"
262,Be King of your state with Angular2 State Machine,"angular2, statemachine, javascript"
263,Почти половина разработчиков тратит 10-25% времени на исправление ошибок в готовом продукте,"тестирование по, разработка приложений, жизненный цикл, гибкая разработка, исследования в ит"
264,"Аппараты, которые смогли","космонавтика, космические аппараты"
265,Как запустить ClickHouse своими силами и выиграть джекпот,"PHP, Clickhouse, columnar database, olap, базы данных, структуры данных, веб-аналитика"
266,"Рисуем, кодим под libGDX и другие маленькие радости из жизни инди-разработчика","libgdx, android, разработка игр, игровой движок, котики"
267,Судоку: так сколько же их? Часть 1/2,"судоку, сколько их, количество, комбинаторика"
268,Как подружить PCIe с 10-метровыми медными кабелями и 100-метровой оптикой,"pcie, pci express, проектирование, оптические кабели, медный кабель"
269,Текстовая трансляция HighLoad++ 2016. День первый,"highload, highload++, высоконагруженные приложения, высоконагруженные системы"
270,Управление задачами на разработку. История из жизни,"управление заказами на разработку, управление расходами на разработку, управление запросами на разработку, управление задачами на разработку, управление ограниченными ресурсами, распределение ограниченных ресурсов, технико-экономическое обоснование, пример применения ТЭО, управление ИТ-бюджетом"
271,Анонс Kharkiv WordPress Meetup #3,Kharkiv WordPress Meetup #3
272,Обзор смартфона ASUS ZenFone 3 Laser,"смартфон, zenfone, zenfone 3 laser"
273,IP-телефоны Akuvox. Обзор бюджетных моделей,"akuvox, ip телефония, voip, sip"
274,"Миниатюрный, производительный и вместительный – собираем ПК своими руками",самоделки
275,Вводим текст красиво,"android, текст, форматирование текста, формат, format, tinkoff"
276,Упрощай или умри. Каким должен быть продукт для российского E-commerce?,"стартап, маркетинг, SaaS, HucksterBot"
277,Emoji — это только начало. И почему бизнес-коммуникации уже неэффективны без смайлов,"эмодзи, поддержка"
278,"Алло, мне звонили с этого номера","атс, виртуальная атс, маркетинг, телефония, fmc"
279,Ловим уведомления с помощью маячков,"Google, Tango, Google Tango, devices, SDK, API, Android, разработка, Kinect, Java, C++, Unity"
280,"Огонь, SLA 3d принтер и медные сплавы","3d-печать, литьё, diy или сделай сам"
281,Спикеры Linux Piter #2 отвечают,"linux, конференция для разработчиков, конференция разработчиков, linuxpiter"
282,27 open-source ништячков для iOS разработчика,"ios development, ios, open source, разработка, программирование проектирование, отладка, edisonsoftware"
283,4 способа увеличить конверсию лендинга и повысить продажи,"лендинг, посадочная страница, маркетинг, продающая страница, дизайн, конверсия"
284,11.11: китайское безумие,"Гаджеты, 11.11, распродажа, Gearbest"
285,React Redux. Получение доступа к state из функции mapDispatchToProps(),"React, React Redux"
286,".NET Tools. Интервью с Сергеем Шкредовым (JetBrains), Павлом Авсениным и Александром Захаровым (DevExpress)","C#, .NET, dotNext Moscow 2016, Rider, средства разработки, Roslyn, CodeRush, visual studio"
287,ASP.NET Core: Развертывание веб-приложения в службе приложений Azure с помощью Visual Studio,"microsoft, asp.net core, asp.net, .net, руководство для разработчика, руководство, веб-службы, azure, http, api, web-api, web-разработка, web-программирование, web-application, visual studio, c#, c#.net, sdk, ASP.NET Core Web Application, msaspnetcore"
288,Опубликован отчёт НАСА об успешных испытаниях EmDrive,"EmDrive, невозможный двигатель, законы физики, Марс, Star Trek"
289,Термосопротивления: Теория,"датчик температуры, Pt100, Pt500, Pt1000, IST-AG"
290,"TechnoLive: Как создать успешную мобильную игру, Иван Федянин","technolive, игры, мобильные игры"
291,"Все о том, как строится самый высокий небоскреб Европы","лахта центр, небоскреб, петербург, welcome, архитектура, строительство, мегастройка"
292,Google DeepMind научил ИИ узнавать объекты с одного «взгляда»,"искусственный интеллект, нейронные сети, google deepmind"
293,Спросите Итана №103: решили ли мы информационный парадокс?,"спросите итана, информационный парадокс, чёрные дыры, стивен хокинг, излучение хокинга"
294,Яндекс запустил сервис «Здоровье»,"ios, android, яндекс, atlas"
295,.NET Standard Library – адекватный стандарт?,".net standard, .net, xamarin, net core, c#"
296,Рейтинги вместо денег,"деньги решают всё, рейтинговая система, блокчейн"
297,ComfortWay для виртуальных операторов,"mvno, mvna, роуминг, mvne, comfortway, cwsim, roaming, gsm, сбербанк, домодедово, вконтакте"
298,PVS-Studio покоряет Интернет,"статический анализ кода, pvs-studio, static code analysis, маркетинг, соцсети, instagram, youtube"
299,7 мер защиты сервера,"Сквадра Груп, администрирование, сервер, серверы"
300,Немного фактов о python asyncio,python3 asyncio microservices
301,Приглашаем на Russian AI Cup 2016,"искуственный интеллект, russian ai cup"
302,Генератор случайных чисел без программирования и даже компьютера: чем удивить юного программиста?,"электроника для начинающих, киберфизика, ардруино, ardruino"
303,Обновление Vivaldi 1.4 для Linux — охота на флэш-плагин,"vivaldi, браузеры, flash, обновление, vivaldi technologies"
304,Технологии хранения данных VMware vSphere 6. Часть 2.1 – New School: SPBM и VAIO,VAIO SPBM vmware vsphere СХД
305,ЦОД и цифровая трансформация,"ЦОД, RuVDS"
306,8 ноября в Digital October в рамках блокчейн-школы пройдет лекция Crowdfunding на блокчейне,"Blockchain School, мероприятия, образовательная программа, кейсы, блокчейн, Waves"
307,Как искусственный интеллект меняет рынок чипов,"cpu, gpu, fpga, нейросети, глубокое обучение"
308,Masterkeys Pro L: кастомайз во все поля,"cooler master, masterkeys, pro l, клавиатура, механическая клавиатура, механика, cherry mx, подсветка, кастомизация"
309,"Нейросеть LipNet читает по губам с точностью 93,4%","нейросеть, LipNet, чтение по губам, распознавание речи, STCNN, LTSM"
310,Однократно выполняющийся блок в произвольном месте кода (C++11 и выше),"c++, c++11"
311,"Персона. Андерс Хейлсберг – создатель Turbo Pascal, Delphi и C#","turbo pascal, delphi, c#, microsoft, borland, персона, языки программирования, разработка по, карьера в it-индустрии"
312,Глубокое обучение для новичков: распознаем рукописные цифры,"neural networks, deep learning, machine learning, wunderfund"
313,Лицевые электроды позволяют жевать и чувствовать вкус в виртуальной реальности,"виртуальная реальность, симуляция, еда, продукты"
314,Microsoft возвращает деньги покупателям Call of Duty: Infinite Warfare в Windows Store,"windows, windows 10, Call of Duty, CoD, windows store, activision, игровые сервера, онлайн"
315,Доля Google Chrome среди браузеров достигла 55% и продолжает расти,"google chrome, браузеры, IE, расширения, доля рынка"
316,"Нацбанк Украины напомнил о запрете электронных платежных систем Webmoney, «Яндекс.Деньги», QIWI Wallet и Wallet One","Электронные деньги, денежные суррогаты, украина, НБУ, платежные системы и сервисы"
317,Свободный менеджер паролей LessPass работает на чистой функции,"LessPass, хэш-функция, парольный менеджер, чистая функция"
318,"youtube-dl, или как скачать видео с YouTube в качестве 1080p и выше","yotuube-dl, софт, открытое программное обеспечение"
319,Как Valve пытается научить игроков вежливости,"вежливость, геймеры, культура поведения, valve"
320,"Инфраструктура узла связи от чайника, или очередное строительство серверных — часть 2","IT инфраструктура, узлы связи, электропитание узлов связи"
321,Исследователи из MIT научили нейронные сети аргументировать свои решения,"искусственный интеллект, big data, машинное обучение, нейронные сети, данные"
322,Свобода программиста,"open source, gnu/linux, prism, it-безопасность"
323,Беглый взгляд на Async-Await в Android,"android, kotlin, async, await, await/async, все читают теги, но зачем, android development"
324,TED Talk: как перепродажа редких кроссовок превратилась в рынок с миллиардным оборотом,"pochtoy.com, ted talks, Nike, маркетинг, чёткий пост"
325,Самый маленький в мире спектрометр UPRtek MK350D,"спектрометр, прибор, измерения, led, led light, led-лампы, светодиодные лампы, свет, светодиодное освещение"
326,TP-LINK HS110 — домашний помощник или очередная розетка с Wi-Fi?,"tp-link, tp-link HS110, HS110, умная розетка, интернет вещей, iot"
327,Панда среди пингвинов. x86_64 микрокомпьютер LattePanda,"LattePanda, diy, умный дом, микрокомпьютер, Arduino, ардуино"
328,В дцатый раз про собеседования,"собеседование, работа, hr, извечное противостояние, ничто не ново под луной"
329,Текстовая трансляция HighLoad++ 2016. День второй,"highload++, высоконагруженные проекты, нагрузочное тестирование, высокопроизводительные вычисления"
330,"С днем рождения, Аарон Шварц","хакер, RSS, Open Library, Creative Commons, Tor2web, SecureDrop, Sci-Hub, открытый доступ, продуктивность, markdown, edisonsoftware"
331,Bug Inside: крохотный шанс сделать громадную ошибку на Pentium,"Pentium, FDIV, Statistical Analysis"
332,11.11: шпаргалка для флеш-распродаж,"jd, jd.ru, китайские товары, китайские магазины, китайские смартфоны, 1111, распродажи"
333,Нужны ли книжные советы начинающим предпринимателям?,"старпат, свой бизнес, бизнес, кафе, магазин, оптовый бизнес, продажи, салон красоты, бар, книги про успех, бизнес книги, предпринимательство, почитать"
334,Распространенные проблемы в облаке IaaS на базе гипервизора VMware и их решения,"ит-град, iaas, vmware, облачные сервисы"
335,Мифы и реальность: Как сделать аудиотехнику элементом интерьера,"аудиомания, звуковое оборудование, звук в ресторане, акустика для помещений"
336,Создание движка для блога с помощью Phoenix и Elixir / Часть 2. Авторизация,"elixir, phoenix, phoenix framework"
337,Создание забавных и привлекательных анимаций простыми функциями Spine (внутри тяжёлые gif),"анимации, spine, интерполяция, скелетная анимация"
338,Как повысить эффективность вашей email-рассылки,"печкин-mail, email, email-рассылки"
339,"Дайджест продуктового дизайна, октябрь 2016","пользовательские интерфейсы, продуктовый дизайн"
340,Интервью с Олегом Придюком (King) oб игровом движке Defold,"king, разработка игр, геймдев, defold, unity"
341,Практическое пособие «Как вывести из себя программиста»,"1сloud, вредные советы, психология программирования, разработка программного обеспечения"
342,Azure-IaaS-Дайджест №11 (Сентябрь-Ноябрь),"azure, oms, Azure Stack"
343,11.11. Всемирный день «липовых» скидок,"aliexpress, скидки, обман, исследование, распродажа, алиэкспресс"
344,Автосбор данных о выполненных заданиях в MS SQL Server,MS SQL Server
345,Цена галочки,"Графоманство, тинькофф, бкс"
346,Сервер с лицензией Windows за 180 руб./мес. – Самый дешёвый VDS,"UltraVDS, VDS, VPS, виртуальный сервер, windows server 2003, hyper-v, виртуализация, сервер windows"
347,Немного о типах DDoS-атак и методах защиты,"vas experts, ddos, ddos-атака, dpi"
348,AtomBombing: чем опасна новая угроза для Windows и как защитить себя,"кибератака, угроза, уязвимость, Windows, AtomBombing, антивирус, Adaptive Defense 360"
349,Автоматическое удаление зависших процессов в MS SQL Server,MS SQL Server
350,EF Core: Настройка имени генерируемых моделей в Scaffolding,"entity framework, .net core"
351,Технологии хранения данных VMware vSphere 6. Часть 2.2 – New School: Virtual Volumes (VVOL),"vmware, vsphere, esxi, СХД, storage, VVOL"
352,Автосбор данных об изменениях схем баз данных в MS SQL Server,MS SQL Server
353,Мужчине изготовили лицевой протез с помощью смартфона и 3D-принтера,"3д-принтер, 3д-печать, медицина, протезирование"
354,Управляем автоматом на Groovy/Java. Как ЧПУ станку в домашней мастерской не превратиться в мульт героев «двое из ларца»,"java, groovy, apache camel, linuxcnc, machinekit, gcodetools, freecad, heekscad, inkscape, blendercam, g-code, beagleboard black, raspberry pi, grape, hawtio"
355,"«Здесь все помешаны на программировании, простое общение никому не интересно»","инженерия, компьютерные науки, программирование, operating system, system programming, образование, разработка"
356,Toshiba представила нейроморфный процессор с низким энергопотреблением,"процессоры, нейросети, искусственный интеллект, нейроморфные чипы, toshiba, qualcomm, ibm, knuedge inc"
357,BYOD: корпоративная мобильность может быть безопасной,"информационная безопасность, защита информации, защита данных, защита по"
358,Выпуск Rust 1.12.1,"rust, компилятор"
359,Распакуй меня полностью: первый запуск умного ошейника Mishiko,"Mishiko, трекер, GPS, собаки, Activity Monitor, GSM, трекер для собак"
360,"7 вещей о книгах и жизни, которые я узнал, прочитав 100 книг за год","книги, чтение, саморазвитие, эксперимент, продуктивность, эффективность"
361,В Массачусетском технологическом институте разработали робоскутер,"робоскутеры, транспортные средства, автоматические системы, будущее"
362,Термосопротивления: Производственный процесс,"датчик температуры, Pt100, Pt500, Pt1000, IST-AG"
363,Плазмохимический реактор атмосферного давления для модификации полимерных рулонных материалов,"плазмохимия, тлеющий разряд, коронный разряд, барьерный разряд, высокое напряжение, высоковольтный трансформатор, мехатроника, микроконтроллеры, ик датчики, программирование микроконтроллеров, драйвер двигателей"
364,"Марсоход, Введение","mars rover series, mono repo, cqrs, event sourcing, tdd, ddd"
365,Ждём всех на GeekWeek 2016: учись и развлекайся,"geekweek, IT конференция, программирование для начинающих"
366,«Прозрачный» Squid с разграничением доступа,"squid3, linux"
367,Скоро в продаже: ГМО-бактерии в пилюлях,"ГМО, бактерии, кишечная палочка, Synlogic"
368,"Odin год спустя: Олег Мельников — о том, что произошло после покупки облачного подразделения Parallels","parallels, ingram micro, разработка электроники, облачные сервисы, дата-центры, дистрибуция"
369,Google и Samsung исправили уязвимость Dirty COW в прошивках Android,android
370,"Rubetek: Создаем комфорт и безопасность, объединяя устройства","rubetek, маркетинг, умный дом, домашняя автоматизация, интернет вещей, рубетек, автоматизация зданий"
371,7 полезных плагинов для Sketch,"sketch, плагины sketch, дизайн интерфейсов, дизайн"
372,До Нового года осталось пройти чекап «Здоровье»,"здоровье, профилактика, атлас"
373,"Вспомнить всё: как быстро востановить данные, по ошибке изменённые пользователем","kickidler, восстановление данных, забывчивые пользователи"
374,Обзор PocketBook 615: самый недорогой ридер с подсветкой от лидера рынка,"Pocketbook, eink, электронные книги"
375,Роскомнадзор заблокировал торрент-трекер pornolab,"pornolab, торрент-трекер, порнолаб, сайт для взрослых, блокировка"
376,Итоги Ruby Hero Russia Award 2016,"Ruby, Rails, railsclub"
377,"В Гарварде считают, что нашли физический центр человеческого сознания","сознание, самосознание, мозг человека"
378,"Перевод: Анатомия игрового движка Total War, Часть 1","3d графика, game engines"
379,Путин попросил правительство подумать о введении НДС на покупки в зарубежных интернет-магазинах,"Pochtoy.com, АКИТ, НДС, покупки из-за рубежа"
380,Цвет коренного европейца,"генетика, генетика человека, происхождение человека, неандертальцы, цвет, витамины, кожа"
381,"Дорогой Хабр, я хочу чтобы ты лучше слышал своих юзернеймов","github, open source, прозрачность, дорогой дневничок, пожелания"
382,Mars One готовят к продаже для выхода на фондовую биржу,"Марс, колонизация Марса, сделка, продажа, выход на биржу, Mars One"
383,9 миллионов доменных имен — это лишь цифры без букв,"домены, цифровые домены, статистика"
384,Археология программиста,"Cypress, микроконтроллер, археология"
385,Сервисы Web of Trust оказались скомпрометированы,"wot, web of trust, безопасность в сети"
386,Нейросети научились судить о книге по обложке,"нейронные сети, искусственный интеллект, cnn"
387,Ведущие производители чипов присматриваются к фотолитографии в глубоком ультрафиолете,"изготовление процессоров, подложка, wafer, литография"
388,Основа системного бизнеса — базовая аналитика,"систематизация, бизнес аналитика, оцифровка"
389,Горячая перезагрузка Chrome-расширения,"javascript, chrome, chrome extension, расширения для Chrome"
390,Межпланетная файловая система IPFS,"ipfs, межпланетная файловая система"
391,Настройка системы внутренней навигации при помощи инструментов Aruba,"Навигация, Aruba, Aruba Mobile Engagement, Aruba Beacons, Hewlett Packard Enterprise"
392,3CX v15 VPS заменяет мультитенантную версию 3CX Phone System 14,"V14 multitenant, V15, переход, VPS, облако, автоматическая настройка"
393,JRuby + Ratpack = ❤️,"ruby, jruby, ratpack"
394,React'ивные Panel'и,"react.js, JSX, XML, javascript, $mol, $mol_panel"
395,Знай конкурента в лицо: как мы проводили конкурентный анализ,"конкуренты, клинеры, mac, маркетинг приложений, маркетинговый анализ, cleanmymac"
396,Опыт подготовки к сдаче экзамена на статус RHCVA (Red Hat Certified Virtualizaion Administrator),"Red Hat, virtualization, exam, RHCVA, certification"
397,NetApp ONTAP & ESXi 6.х tuning,"vmware, vmware esxi, netapp, netapp fas, san, nas, nfs, tuning, vaai, vasa, vsc, gos, cDOT, HA, high availability, iscsi, fc, fibrechannel, fcoe, vmfs, wafl, misalignment, disk misalignment, windows, linux, solaris, alua, mpio, loadbalancing, RDM, esxi, esxi 5, esxi 4, HBA, jumbo frames, vcenter, ONTAP, ontap 9, vvol, FCP, ESXi 6, vsphere 6, nfsv4, nfs4, MTU"
398,Аtomic-тесты и файнтюнинг производительности,"parallels, parallels desktop, parallels desktop for mac, it, runet, рунет, parallels toolbox, parallels automation"
399,Рекомендации на основе изображений товаров,"cnn, machine learning, data science, распознавание изображений, рекомендательные системы"
400,Плачь и танцуй: Почему музыка вызывает у нас эмоции,"аудиомания, почему все именно так, звук и музыка"
401,Email-рассылка: Типология наиболее часто встречающихся категорий писем,"pechkin.com, email-рассылки, email-маркетинг"
402,TrickBot – новая спамовая атака на компании,"TrickBot, спам, кибератаки, PowerShell, антиспам"
403,Как создавалась система холодоснабжения дата-центра NORD-4,"дата-центры, цоды, холодоснабжение, системы охлаждения, чиллеры, кондиционеры, фрикулинг, nord-4, dataline"
404,«Немного о платформах»: Backend-as-a-Service,"ит-град, baas, инфраструктура как сервис"
405,Аудит баз Oracle,"powershell, oracle database"
406,Погружение в Async-Await в Android,"android development, android, kotlin, async/await, async, await, теги для зануд"
407,11-13 ноября в Digital October пройдет хакатон по разработке блокчейн-проектов,"Хакатон, мероприятия, разработка, лекции, митап, блокчейн, Waves"
408,Один научно обоснованный способ рационального управления своим напряженным и насыщенным расписанием,"работай над собой, стэнфордский университет, исследования аудитории, дневниковые записи, личная эффективность, личная продуктивность, повышение эффективности, самомотивация"
409,Личный опыт: как найти менеджера по продажам для веб-студии,"сотрудники, персонал, подбор персонала, hr-процесс"
410,Применяем дженерики в RAD Studio Delphi. Создаем библиотеку сортировки списков однотипных объектов,"delphi, дженерики, generics, алогоритмы, rad studio"
411,Теперь ONLYOFFICE может всё: добавляем плагины в редакторы документов,"офисное по, onlyoffice, офис, офисные приложения, совместная работа, текстовый редактор, редактор таблиц, облачные технологии"
412,Стоит ли бояться DevOps-а современному QA,"тестирование, тесты, тестирование it-систем"
413,Основы левел-дизайна,"level design, дизайн уровней, моды"
414,Bobby. Рюкзак особого назначения,"Рюкзак, XD-Design, Bobby"
415,Подделка писем. Как защищаться,"Информационная безопасность, спам, антиспам, спуфинг, spoofing, защита почты, системное администрирование, сетевые технологии, ИТ-инфраструктура, Cisco"
416,«Хардкор» и его технологии,"Хардкор, Hardcore Henry, фильм"
417,"Лучшие IT-вакансии на «Моём круге» за неделю, 17-23 октября","мой круг, moikrug.ru, moikrug, вакансии, вакансии для it-специалистов, карьера, карьера в it-индустрии"
418,Пол Грэм: Дать определение «собственности»,"собственность, стартап, авторское право, edisonsoftware"
419,Лженаука и аферисты. Образовательные сообщества и курсы программирования,"образовательные сообщества, курсы программирования, МММ, IntellFamily, Константин Акимов"
420,Российский хакер научил студентов ИТ-вуза взламывать сеть,"перехват данных, информационная безопасность, security, intercepter-ng, хакер, hacking, hack"
421,О важности информационной безопасности — отчет о конференции HackIT 2016,"hackit, ctf"
422,"О верстке, логике, чудаках и порталах МТС",верстка сайтов
423,Защитим ночное небо,"ночное небо, звёзды, млечный путь, световое загрязнение, астрономию в массы"
424,"50 оттенков Go: ловушки, подводные камни и распространённые ошибки новичков","go, golang, tutorial"
425,"Itseez, дважды Intel Company","itseez, opencv"
426,История стартапа и наш пивот,"2polyglot, polyglot, Полиглот, startup, стартап, развитие стартапа, marketplaces, маркетплейсы, freelance, pivot, пивот, API, win-win, интеграция сервисов, partnership, партнёрство"
427,В эксперименте с технологией 5G миллиметровые волны преодолели более 10 километров,"сотовая связь, 5g, миллиметровые волны"
428,Анализируем производительность сервера Oracle SPARC T7-2,"инфосистемы джет, dax, oracle, in-memory database, spark"
429,Работа с разными единицами измерения одинакового типа и их конвертация,"delphi, typecast"
430,Выпуск мобильных игр в Китае сложен как никогда,"китайский рынок, мобильные игры"
431,Глобальное потепление может ускорить повышение уровня вод Мирового океана,"глобальное потепление, климат, земля, мировой океан"
432,Приемы взятия сложных интегралов,интеграл
433,GoPro отзывает квадрокоптеры Karma,"GoPro, Karma, квадрокоптер, мультикоптер, аэросъемка, съемка, оборудование"
434,Управление проверкой личности с помощью Windows Hello для бизнеса,"microsoft, windows, windows hello, microsoft passport, пароли, пароли windows, информационная безопасность, security"
435,5 уроков семимесячного пребывания в стартаповом аду,"start-up, стартапы, уроки, перевод, lessons"
436,"Lenovo разрешила ставить Linux на ноутбуки c Windows 10, но с отказом от техподдержки","Lenovo, Windows 10, Linux, SSD"
437,JetBrains Night в Москве. Видео. Kotlin как первый шаг к JVM,"Kotlin, JetBrains Night, Москва, конференция, разработка, программирование"
438,Работа с cab-архивами через IStream,"Cabinet, FCI, FDI, IStream, сжатие"
439,"Offensive programming: параноидальное, наступательное, атакующее или беззащитное программирование","Offensive programming, defensive programming, java, разработка, программирование, тестирование, edisonsoftware"
440,Symfony — загрузка файлов в MongoDB GridFS,"php, mongo, mongodb, gridfs, symfony, перевод, doctrine odm, doctrine"
441,"Исследователи нашли антитело, нейтрализующее вирус Зика","вирус зика, биотехнологии, медицина, вакцины"
442,Измененная теория гравитации по-своему объясняет структуру Вселенной,"астрономия, темная материя, темная энергия, структура вселенной"
443,Как собрать RidgeRun SDK,"RidgeRun, SDK, DVSDK, gstreamer"
444,Патентная подкладка смартфона Samsung Galaxy X,"патент, samsung, патентная заявка, патентование"
445,Учёные готовят фундаментальное обновление единиц измерения,"единицы измерения, система мер, си, метр, килограмм, фундаментальные константы, постоянная планка, постоянная тонкой структуры"
446,Обзор корейских регистраторов ThinkWare F770 и F50: когда во главе угла – качество видео,"ThinkWare, видеорегистраторы"
447,Создание машины времени возможно. Эксперименты со временем. Теоретическая часть,"машина времени, путешествия во времени, теория относительности, эксперименты с двумя щелями"
448,Как технологии ABBYY помогают улучшить работу систем обнаружения утечек данных,"abbyy, searchinform, finereader engine, dlp, информационная безопасность"
449,DRAMA: Новая атака позволяет скрытно похищать данные из изолированных виртуальных машин,"DRAM, информационная безопасность, взломы, виртуализация"
450,"Победа Трампа: фондовые рынки падают, биткоин и золото растут","HashFlare, Трамп, биткоин, золото"
451,"DDoS-атака на Сбербанк, Альфа-Банк, Банк Москвы, Росбанк и другие","банк, банки, ddos, mirai, уязвимость"
452,Построение диаграммы Вороного методом 'разделяй и властвуй'. Релаксация Ллойда,"Диаграммы Вороного, алгоритмы, программирование, C++, разделяй и властвуй"
453,Декомпиляция Java-методов на продуктивном приложении под нагрузкой – миф или реальность?,"инфосистемы джет, тестирование по, разработка приложений, мониторинг, java, clojure, scala, groovy"
454,"Пока китайский ИТ-рынок труда еще перенимает американскую практику, в США нанимают программистов «играючи»","поиск работы в it, поиск работы за рубежом, китай, сша, программисты, разработка по, спрос и предложение"
455,Разговор с космонавтом Александром Мисуркиным,"космос, космонавт, МКС, пилотируемая космонавтика"
456,Как мы внедряем ITSM. Четыре порока обслуживания,"Service desk, help desk software, redmine, plugins, ITSM"
457,Оптимизация поиска при выборе кампании,"С, С++, алгоритмы, перебор"
458,Синий экран смерти при копировании через Remote Desktop теперь доступен и на серверной платформе,"BSOD, Windows 10, Windows Server 2016"
459,Как бороться с низкой сетевой производительностью Hyper-V,"облачные вычисления, виртуализация, хостинг, ит-инфраструктура, hyper-v"
